id;DESCRIPTION;price;link;image_link;availability;brand;delivery_time;gtin_ean;product_type;sale_price;size;stock;title
BN9415017JBN4102703;Placa Main SAMSUNG UE55RU7090U BN94-15017J BN41-02703;45.45;https://www.sspelectronic.com/producto/61-;https://www.sspelectronic.com/images/productos/img/61-1-original.jpg;S;;2;1300000000057;Placas Main;55;0.5 x 0.5 x 0.5;0;Placa Main SAMSUNG UE55RU7090U BN94-15017J BN41-02703
BN41-02344D BN94-10515S;Placa Main SAMSUNG BN41-02344D BN94-10515S SAMSUNG UE40JU6400W;28.93;https://www.sspelectronic.com/producto/62-;https://www.sspelectronic.com/images/productos/img/62-1-original.jpg;S;;2;1300000000058;Placas Main;35;0.5 x 0.5 x 0.5;0;Placa Main SAMSUNG BN41-02344D BN94-10515S SAMSUNG UE40JU6400W
Placa Main Nec E507Q;Placa Main Nec E507Q 715G9663-M01-000-005K;37.19;https://www.sspelectronic.com/producto/63-;https://www.sspelectronic.com/images/productos/img/63-1-original.jpg;S;;2;1300000000059;Placas Main;45;0.5 x 0.5 x 0.5;0;Placa Main Nec E507Q 715G9663-M01-000-005K
BN41-02528A BN94-11233L;Placa Main SAMSUNG UE40KU6000W BN41-02528A BN94-11233L;28.93;https://www.sspelectronic.com/producto/64-;https://www.sspelectronic.com/images/productos/img/64-1-original.jpg;S;;2;1300000000060;Placas Main;35;0.5 x 0.5 x 0.5;0;Placa Main SAMSUNG UE40KU6000W BN41-02528A BN94-11233L
BN41-02534B  BN94-10995W;Placa Main SAMSUNG LE32A455C1D BN94-01672F BN41-00981A;41.32;https://www.sspelectronic.com/producto/65-;https://www.sspelectronic.com/images/productos/img/65-1-original.jpg;S;;2;1300000000061;Placas Main;50;0.5 x 0.5 x 0.5;1;Placa Main SAMSUNG LE32A455C1D BN94-01672F BN41-00981A
BN41-02344B;Placa Main Samsung BN41-02344B Samsung UE48JU6500W;37.19;https://www.sspelectronic.com/producto/66-;https://www.sspelectronic.com/images/productos/img/66-1-original.jpg;S;;2;1300000000062;Placas Main;45;0.5 x 0.5 x 0.5;2;Placa Main Samsung BN41-02344B Samsung UE48JU6500W
BN41-02344D BN94-10515Y;Placa Main SAMSUNG UE48JU6400K ,...BN41-02344D BN94-10515Y Samsung UE48JU6400W, UE48JU6800K ...;28.93;https://www.sspelectronic.com/producto/67-;https://www.sspelectronic.com/images/productos/img/67-1-original.jpg;S;;2;1300000000063;Placas Main;35;0.5 x 0.5 x 0.5;0;Placa Main SAMSUNG UE48JU6400K ,...BN41-02344D BN94-10515Y Samsung UE48JU6400W, UE48JU6800K ...
BN41-02528A BN94-10769G;Placa Main SAMSUNG UE40KU6100K BN41-02528A BN94-10769G UE40KU6100KXZT;33.06;https://www.sspelectronic.com/producto/68-;https://www.sspelectronic.com/images/productos/img/68-1-original.jpg;S;;2;1300000000064;Placas Main;40;0.5 x 0.5 x 0.5;0;Placa Main SAMSUNG UE40KU6100K BN41-02528A BN94-10769G UE40KU6100KXZT
BN41-02528A BN94-10776;Placa Main Samsung UE55KU6400U BN41-02528A BN94-10776C;57.85;https://www.sspelectronic.com/producto/69-;https://www.sspelectronic.com/images/productos/img/69-1-original.jpg;S;;2;1300000000065;Placas Main;70;0.5 x 0.5 x 0.5;0;Placa Main Samsung UE55KU6400U BN41-02528A BN94-10776C
BN41-02534B BN94-10997D;Placa Main SAMSUNG UE49K6300AW BN41-02534B BN94-10997D;37.19;https://www.sspelectronic.com/producto/70-;https://www.sspelectronic.com/images/productos/img/70-1-original.jpg;S;;2;1300000000066;Placas Main;45;0.5 x 0.5 x 0.5;0;Placa Main SAMSUNG UE49K6300AW BN41-02534B BN94-10997D
BN41-01802A BN94-04644V;Placa Main SAMSUNG PS51E550D1W BN41-01802A BN94-04644V SWAP;24.79;https://www.sspelectronic.com/producto/71-;https://www.sspelectronic.com/images/productos/img/71-1-original.jpg;S;;2;1300000000067;Placas Main;30;0.5 x 0.5 x 0.5;0;Placa Main SAMSUNG PS51E550D1W BN41-01802A BN94-04644V SWAP
BN41-02481A;UE40K6300AK UE49K6300AW;20.66;https://www.sspelectronic.com/producto/72-;https://www.sspelectronic.com/images/productos/img/72-1-original.jpg;S;;2;1300000000068;Placa TCon;25;0.5 x 0.5 x 0.5;0;UE40K6300AK UE49K6300AW
32745A;Placa T-Con 32745A SAMSUNG UE58J5200AW;24.79;https://www.sspelectronic.com/producto/73-;https://www.sspelectronic.com/images/productos/img/73-1-original.jpg;S;;2;1300000000069;Placa TCon;30;0.5 x 0.5 x 0.5;0;Placa T-Con 32745A SAMSUNG UE58J5200AW
BN96-40852A;Placa T-Con Sasmung BN96-40852A HV480FHB-N40 HV480FHBN4044-97711890B06Y85T2533 47.6221268;24.79;https://www.sspelectronic.com/producto/75-;https://www.sspelectronic.com/images/productos/img/75-1-original.jpg;S;;2;1300000000070;Placa TCon;30;0.5 x 0.5 x 0.5;0;Placa T-Con Sasmung BN96-40852A HV480FHB-N40 HV480FHBN4044-97711890B06Y85T2533 47.6221268
BN96-30947A V500DK2-CQS1;Placa T-Con Samsung UE50HU6900S BN96-30947A V500DK2-CQS1;24.79;https://www.sspelectronic.com/producto/76-;https://www.sspelectronic.com/images/productos/img/76-1-original.jpg;S;;2;1300000000071;Placa TCon;30;0.5 x 0.5 x 0.5;0;Placa T-Con Samsung UE50HU6900S BN96-30947A V500DK2-CQS1
BN97-10798A BN95-02676A BN41-02481A LSF4O0HN02L;Placa T-Con BN97-10798A BN95-02676A BN41-02481A LSF4O0HN02L 2016Y_SDC_HAWK_FTS_MJC_MB4;20.66;https://www.sspelectronic.com/producto/77-;https://www.sspelectronic.com/images/productos/img/77-1-original.jpg;S;;2;1300000000072;Placa TCon;25;0.5 x 0.5 x 0.5;0;Placa T-Con BN97-10798A BN95-02676A BN41-02481A LSF4O0HN02L 2016Y_SDC_HAWK_FTS_MJC_MB4
43T03-C00 T430QVN01.0;Placa Tcon 43T03-C00 T430QVN01.0 CTRL BD Samsung UE43JU6060K Samsung UE43KU6000K;20.66;https://www.sspelectronic.com/producto/78-;https://www.sspelectronic.com/images/productos/img/78-1-original.jpg;S;SAMSUNG;2;1300000000073;Placa TCon;25;0.5 x 0.5 x 0.5;0;Placa Tcon 43T03-C00 T430QVN01.0 CTRL BD Samsung UE43JU6060K Samsung UE43KU6000K
